image_id,gold_date,previous_prediction,highres_prediction,previous_candidate_count,highres_candidate_count,recovered_candidate,recovered_exact_match,elapsed_seconds,file_name,ocr_seconds,input_width,input_height
157,2027-08-07,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.8560222000232898,000157.jpg,1.466448399994988,960,1280
352,2026-08-27,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,3.128314599976875,000352.jpg,2.792751600034535,960,1280
438,2026-02-19,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.3071049000136554,000438.jpg,0.9964898999896832,960,1280
447,2025-11-22,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.1751011000014842,000447.jpg,0.8798354999744333,960,1280
463,2027-02-14,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.560400699963793,000463.jpg,2.26698120002402,960,1280
485,2027-09-17,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.5017793000442907,000485.jpg,0.9726289000245742,960,1280
694,2026-09-01,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.2810318999690935,000694.jpg,2.142021699983161,720,1280
715,2026-06-26,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.2014999000239186,000715.jpg,1.100562000006903,720,1280
749,2026-01-21,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.4504697999800555,000749.jpg,1.2574733999790624,960,1280
763,NONE-11-12,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.9954586999956518,000763.jpg,0.9117962999735028,748,634
789,NONE-12-19,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.286773699976038,000789.jpeg,1.9618736000265926,960,1280
893,2022-02-07,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.7466117999865673,000893.jpg,0.7363841999904253,640,640
907,2022-01-NONE,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.002969099965412,000907.jpg,1.931064400007017,1280,960
954,2021-02-05,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.1629375000484288,000954.jpg,1.1468613999895751,640,640
978,2021-11-03,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.5631223999662325,000978.jpg,2.5511114000109956,640,640
1097,2021-06-11,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.514248299994506,001097.jpg,1.5039595999987796,640,640
1205,2021-05-NONE,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.6922526999842376,001205.jpg,1.6763529000454582,898,622
1642,2022-03-19,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.0239556999877095,001642.jpg,0.9940499999793246,767,1022
1823,2021-06-09,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.5985512000042945,001823.jpg,0.5852363999583758,640,640
1851,2021-12-16,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.7826114000054076,001851.jpg,0.761349499982316,640,640
1955,2021-10-NONE,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,6.898867599957157,001955.jpg,6.862779500021134,1210,907
1982,2021-10-20,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,2.024961200018879,001982.jpg,1.9431024999939837,1280,960
2011,2020-06-30,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.1982512999675237,002011.jpg,1.160798299999442,927,1236
2062,2023-02-NONE,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.9795430000522174,002062.jpg,0.9600506000570022,593,794
2251,2021-05-09,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.3916872999980114,002251.jpg,1.377304700028617,640,640
2258,2022-01-24,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.4236855000490323,002258.jpg,1.3965955000021495,939,1252
2278,2023-07-NONE,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.1928160999668762,002278.jpg,1.1752716999617405,640,640
2404,2020-11-11,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,0.7596249000052921,002404.jpg,0.7428794999723323,640,640
2436,2021-06-03,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,3.2638917000149377,002436.jpg,3.246904800005723,640,640
2492,2022-08-09,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,1.6618313000071794,002492.jpg,1.6461615999578498,640,640
2586,2022-12-NONE,NONE-NONE-NONE,NONE-NONE-NONE,0,0,False,False,6.631128399982117,002586.jpg,6.5886796999839135,833,1109
