file_name,image_id,true_year,true_month,true_day,true_final_date,pred_year,pred_month,pred_day,pred_final_date,year_correct,month_correct,day_correct,final_date_correct,selected_method,date_candidate_found,failure_stage,attempted_methods,fallback_processing_seconds
000157.jpg,157,2027,08,07,2027-08-07,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.260766399995191
000352.jpg,352,2026,08,27,2026-08-27,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",6.309004799986724
000438.jpg,438,2026,02,19,2026-02-19,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.3635939999949187
000447.jpg,447,2025,11,22,2025-11-22,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.5078542999981437
000463.jpg,463,2027,02,14,2027-02-14,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",8.56881060001615
000485.jpg,485,2027,09,17,2027-09-17,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",4.427322999981698
000694.jpg,694,2026,09,01,2026-09-01,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",7.474176099989563
000715.jpg,715,2026,06,26,2026-06-26,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",2.962984900004812
000749.jpg,749,2026,01,21,2026-01-21,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",4.250145600002725
000763.jpg,763,NONE,11,12,NONE-11-12,NONE,NONE,NONE,NONE-NONE-NONE,True,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.440581500006374
000789.jpeg,789,NONE,12,19,NONE-12-19,NONE,NONE,NONE,NONE-NONE-NONE,True,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",4.487559600020177
000893.jpg,893,2022,02,07,2022-02-07,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.662427100003697
000907.jpg,907,2022,01,NONE,2022-01-NONE,NONE,NONE,NONE,NONE-NONE-NONE,False,False,True,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",4.819063200004167
000954.jpg,954,2021,02,05,2021-02-05,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",3.103084799993667
000978.jpg,978,2021,11,03,2021-11-03,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",6.298423299987917
001097.jpg,1097,2021,06,11,2021-06-11,NONE,NONE,NONE,NONE-NONE-NONE,False,False,False,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",5.492900799989002
001205.jpg,1205,2021,05,NONE,2021-05-NONE,NONE,NONE,NONE,NONE-NONE-NONE,False,False,True,False,original_no_candidate,False,ocr_boxes_no_date_candidate,"[""original_512"", ""rotation_270"", ""highres_1024"", ""clahe""]",4.0769730000029085
